symbol,open_time,open,high,low,close,volumn
BTCUSDT,2025-09-07 00:00:00+00:00,110187.98,110209.79,110186.17,110209.79,38.19053
BTCUSDT,2025-09-08 00:00:00+00:00,111137.35,111170.65,111105.6,111160.01,8.84672
BTCUSDT,2025-09-09 00:00:00+00:00,112065.23,112087.96,112055.74,112072.21,10.87704
BTCUSDT,2025-09-10 00:00:00+00:00,111546.38,111547.4,111513.35,111547.4,5.3019
BTCUSDT,2025-09-11 00:00:00+00:00,113960.0,114008.87,113945.59,113990.0,17.75921
BTCUSDT,2025-09-12 00:00:00+00:00,115482.69,115612.0,115482.68,115596.09,106.0238
BTCUSDT,2025-09-13 00:00:00+00:00,116029.41,116054.98,116027.63,116027.63,7.71952
BTCUSDT,2025-09-14 00:00:00+00:00,115918.29,115936.93,115918.29,115936.93,4.03199
BTCUSDT,2025-09-15 00:00:00+00:00,115268.01,115276.49,115200.0,115250.01,9.63352
BTCUSDT,2025-09-16 00:00:00+00:00,115349.71,115349.71,115337.39,115338.18,2.39143
BTCUSDT,2025-09-17 00:00:00+00:00,116788.96,116832.0,116788.95,116788.95,7.46106
BTCUSDT,2025-09-18 00:00:00+00:00,116447.6,116470.52,116401.61,116412.31,8.97208
BTCUSDT,2025-09-19 00:00:00+00:00,117073.53,117151.26,117073.52,117141.37,9.52582
BTCUSDT,2025-09-20 00:00:00+00:00,115632.39,115632.39,115593.08,115612.73,10.19381
BTCUSDT,2025-09-21 00:00:00+00:00,115685.63,115685.63,115685.62,115685.63,1.90382
BTCUSDT,2025-09-22 00:00:00+00:00,115232.29,115232.29,115199.0,115206.99,6.19341
BTCUSDT,2025-09-23 00:00:00+00:00,112650.99,112650.99,112546.59,112546.6,15.17035
BTCUSDT,2025-09-24 00:00:00+00:00,111998.8,112002.21,111953.39,111953.4,13.58377
BTCUSDT,2025-09-25 00:00:00+00:00,113307.01,113319.79,113283.79,113293.8,9.50513
BTCUSDT,2025-09-26 00:00:00+00:00,108994.49,108994.49,108946.22,108968.82,15.1148
BTCUSDT,2025-09-27 00:00:00+00:00,109643.46,109643.46,109608.82,109608.83,4.59182
BTCUSDT,2025-09-28 00:00:00+00:00,109635.85,109660.0,109635.84,109647.48,6.88133
BTCUSDT,2025-09-29 00:00:00+00:00,112163.96,112190.31,112124.55,112149.02,17.06112
BTCUSDT,2025-09-30 00:00:00+00:00,114311.97,114311.97,114220.73,114262.4,31.76685
BTCUSDT,2025-10-01 00:00:00+00:00,114048.94,114100.0,114048.93,114100.0,18.30369
BTCUSDT,2025-10-02 00:00:00+00:00,118594.99,118703.35,118594.98,118703.35,81.59696
BTCUSDT,2025-10-03 00:00:00+00:00,120529.35,120550.9,120311.71,120429.51,186.09855
BTCUSDT,2025-10-04 00:00:00+00:00,122232.21,122255.15,122221.77,122221.78,10.76957
BTCUSDT,2025-10-05 00:00:00+00:00,122390.99,122398.83,122390.99,122398.82,3.5218
BTCUSDT,2025-10-06 00:00:00+00:00,123482.32,123499.0,123468.4,123468.41,5.8128
BTCUSDT,2025-10-07 00:00:00+00:00,124658.54,124682.0,124621.43,124681.76,40.87479
BTCUSDT,2025-10-08 00:00:00+00:00,121332.96,121438.45,121332.96,121435.95,18.99466
BTCUSDT,2025-10-09 00:00:00+00:00,123306.01,123348.32,123306.0,123340.01,7.92442
BTCUSDT,2025-10-10 00:00:00+00:00,121662.41,121719.43,121662.41,121662.47,18.2714
BTCUSDT,2025-10-11 00:00:00+00:00,112774.49,112774.61,112443.83,112531.02,186.27201
BTCUSDT,2025-10-12 00:00:00+00:00,110644.4,110685.63,110574.0,110600.01,26.67754
BTCUSDT,2025-10-13 00:00:00+00:00,114958.81,115012.0,114864.86,114874.82,33.74104
BTCUSDT,2025-10-14 00:00:00+00:00,115166.0,115180.0,115133.17,115133.18,7.83761
BTCUSDT,2025-10-15 00:00:00+00:00,113028.13,113040.27,112997.97,113014.05,21.07816
BTCUSDT,2025-10-16 00:00:00+00:00,110763.28,110816.85,110732.95,110814.49,16.42731
BTCUSDT,2025-10-17 00:00:00+00:00,108194.27,108194.28,108104.96,108104.96,7.95656
BTCUSDT,2025-10-18 00:00:00+00:00,106431.68,106445.82,106425.3,106437.5,3.12637
BTCUSDT,2025-10-19 00:00:00+00:00,107185.0,107196.54,107156.5,107185.08,8.68723
BTCUSDT,2025-10-20 00:00:00+00:00,108642.77,108642.77,108584.35,108597.74,10.53316
BTCUSDT,2025-10-21 00:00:00+00:00,110532.09,110532.09,110495.0,110495.01,8.24146
BTCUSDT,2025-10-22 00:00:00+00:00,108297.66,108297.67,108170.0,108259.94,42.20875
BTCUSDT,2025-10-23 00:00:00+00:00,107567.45,107578.21,107528.13,107528.14,4.69869
BTCUSDT,2025-10-24 00:00:00+00:00,110078.19,110109.29,110054.2,110093.18,7.00205
